dataset_id,paper_id,name,organism,tissue,modality,source_url,accession,license,status,local_path,sha256,tags,notes
zhuang-abca-1,zhang-2023-whole-mouse-brain-merfish,"成年小鼠 1：冠状切 MERFISH 全脑",mouse,brain,MERFISH,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-1.html,Zhuang-ABCA-1,"以 Allen 数据条款为准",linked,,,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:merfish;orientation:coronal;source:allen-brain-cell-atlas;viewer:spatialvista","SpatialVista ID=2023_nature_mouse_merfish_brain_coronal_C57BL6J-1；3,812,698 个点/细胞；原始图像另见 BIL DOI 10.35077/act-bag。"
zhuang-abca-2,zhang-2023-whole-mouse-brain-merfish,"成年小鼠 2：冠状切 MERFISH 全脑",mouse,brain,MERFISH,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-2.html,Zhuang-ABCA-2,"以 Allen 数据条款为准",linked,,,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:merfish;orientation:coronal;source:allen-brain-cell-atlas;viewer:spatialvista","SpatialVista ID=2023_nature_mouse_merfish_brain_coronal_C57BL6J-2；1,654,566 个点/细胞；原始图像另见 BIL DOI 10.35077/act-bag。"
zhuang-abca-3,zhang-2023-whole-mouse-brain-merfish,"成年小鼠 3：矢状切 MERFISH 全脑",mouse,brain,MERFISH,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-3.html,Zhuang-ABCA-3,"以 Allen 数据条款为准",linked,,,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:merfish;orientation:sagittal;source:allen-brain-cell-atlas;viewer:spatialvista","SpatialVista ID=2023_nature_mouse_merfish_brain_sagittal_C57BL6J-3；2,055,846 个点/细胞；当前本地示例 mouse_brain_3_IQ.h5ad 对应此项。"
zhuang-abca-4,zhang-2023-whole-mouse-brain-merfish,"成年小鼠 4：矢状切 MERFISH 部分脑切片",mouse,brain,MERFISH,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-4.html,Zhuang-ABCA-4,CC-BY-4.0,linked,,,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:merfish;orientation:sagittal;source:allen-brain-cell-atlas;viewer:not-in-spatialvista","论文的第 4 只小鼠；3 张矢状切片，约 22 万个处理后细胞；SpatialVista 未收录。"
han-mouse-brain-stereo-seq,han-2025-mouse-brain-stereo-seq,"成年小鼠全脑 Stereo-seq 三维图谱",mouse,brain,Stereo-seq,https://doi.org/10.12412/BSDC.1699433096.20001,CNP0003837,"以 BSDC/CNSA 数据条款为准",partially_linked,,,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:stereo-seq;modality:snrna-seq;method:spatial-id;source:cngb;source:bsdc;viewer:online-atlas;status:partially-linked","已建立数据清单、下载脚本和合成测试数据；原始项目约 125.58 TB，只开放部分匿名下载。"
mosta3d-e11-5,cheng-2024-mouse-embryo-3d,"E11.5 完整小鼠胚胎三维 Stereo-seq",mouse,embryo,Stereo-seq,https://db.cngb.org/data_resources/project/CNP0005981/,CNP0005981,"许可待来源恢复后核实",catalog_only,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;modality:stereo-seq;imaging:sbfi;stage:e11.5;source:cnsa;license:verify;status:catalog-only","论文报告 91 张间隔 Stereo-seq 切片、7,830,602 个细胞、100 种细胞类型和 23 个器官/空间区域；CNP0005981 当前不可公开取得，MOSTA3D 原入口返回 404。"
xie-e7-5-rep1,xie-2025-digital-mouse-embryo,"小鼠胚胎 E7.5 重复 1",mouse,embryo,Stereo-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046243,GSM9046243,"以GEO和论文条款为准",linked_not_downloaded,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;stage:e7.5;replicate:1;source:geo;format:h5ad","GEO报告195.4 MB；SRX29179015；真实H5AD下载因本机NCBI连接中断未完成。"
xie-e7-5-rep2,xie-2025-digital-mouse-embryo,"小鼠胚胎 E7.5 重复 2",mouse,embryo,Stereo-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046244,GSM9046244,"以GEO和论文条款为准",linked_not_downloaded,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;stage:e7.5;replicate:2;source:geo;format:h5ad","GEO报告31.5 MB；SRX29179016；真实H5AD下载因本机NCBI连接中断未完成。"
xie-e7-75-rep1,xie-2025-digital-mouse-embryo,"小鼠胚胎 E7.75 重复 1",mouse,embryo,Stereo-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046245,GSM9046245,"以GEO和论文条款为准",linked_not_downloaded,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;stage:e7.75;replicate:1;source:geo;format:h5ad","GEO报告344.7 MB；SRX29179017；真实H5AD下载因本机NCBI连接中断未完成。"
xie-e7-75-rep2,xie-2025-digital-mouse-embryo,"小鼠胚胎 E7.75 重复 2",mouse,embryo,Stereo-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046246,GSM9046246,"以GEO和论文条款为准",linked_not_downloaded,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;stage:e7.75;replicate:2;source:geo;format:h5ad","GEO报告92.8 MB；SRX29179018；真实H5AD下载因本机NCBI连接中断未完成。"
xie-e8-rep1,xie-2025-digital-mouse-embryo,"小鼠胚胎 E8.0 重复 1",mouse,embryo,Stereo-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046247,GSM9046247,"以GEO和论文条款为准",linked_not_downloaded,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;stage:e8.0;replicate:1;source:geo;format:h5ad","GEO报告35.7 MB；SRX29179019；真实H5AD下载因本机NCBI连接中断未完成。"
xie-e8-rep2,xie-2025-digital-mouse-embryo,"小鼠胚胎 E8.0 重复 2",mouse,embryo,Stereo-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9046248,GSM9046248,"以GEO和论文条款为准",linked_not_downloaded,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;stage:e8.0;replicate:2;source:geo;format:h5ad","GEO报告102.8 MB；SRX29179020；真实H5AD下载因本机NCBI连接中断未完成。"
mosta3d-e9-5,cheng-2024-mouse-embryo-3d,"E9.5 完整小鼠胚胎三维 Stereo-seq",mouse,embryo,Stereo-seq,https://db.cngb.org/data_resources/project/CNP0005981/,CNP0005981,"许可待来源恢复后核实",catalog_only,,,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;modality:stereo-seq;imaging:sbfi;stage:e9.5;source:cnsa;license:verify;status:catalog-only","论文报告 94 张连续 Stereo-seq 切片、915,901 个细胞、88 种细胞类型和 14 个器官/空间区域；CNP0005981 当前不可公开取得，MOSTA3D 原入口返回 404。"
xiao-human-gastrulation-cs8,xiao-2024-human-gastrulation,"人 CS8 原肠胚三维 Stereo-seq",human,embryo,Stereo-seq,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005567,HRA005567,"公开访问；具体使用条件以 GSA-Human 为准",linked,,,"topic:spatial-transcriptomics;organism:human;tissue:embryo;modality:stereo-seq;stage:cs8;source:gsa-human;viewer:spatialvista","SpatialVista ID=2024_cell_human_gastrulation；37,226 个展示点；论文质控后报告 38,562 spots，口径不同；分析代码 DOI 10.5281/zenodo.10851179。"
